Ângulo	Velocidade	Aceleração	Tempo
287	3	4	41627
45	47	0	41677
64	4	0	41727
119	1	4	41777
50	22	8	41827
179	6	5	41877
267	21	1	41927
296	44	8	41977
17	13	7	42027
239	2	5	42077
39	38	4	42127
113	42	9	42177
207	22	9	42227
252	6	8	42277
261	39	7	42327
253	25	8	42377
232	44	2	42427
175	49	7	42477
33	20	0	42527
63	41	0	42577
278	11	4	42627
62	34	9	42677
101	28	2	42727
20	13	8	42777
187	48	9	42827
181	13	6	42877
62	10	7	42927
128	18	9	42977
120	31	0	43027
257	26	0	43077
269	50	0	43127
126	22	1	43177
158	14	2	43227
76	20	8	43277
212	47	3	43327
267	21	5	43377
278	45	6	43427
142	4	5	43477
22	10	8	43527
7	46	1	43577
52	11	7	43627
13	50	0	43677
97	32	0	43727
138	28	8	43777
46	34	2	43827
279	20	7	43877
298	9	5	43927
202	25	5	43977
82	38	2	44027
114	4	4	44077
288	25	6	44127
88	38	0	44177
104	11	2	44227
256	19	1	44277
116	15	2	44327
206	15	0	44377
109	1	0	44427
89	25	4	44477
154	17	4	44527
78	31	8	44577
208	35	7	44627
286	24	1	44677
120	23	0	44727
50	1	3	44777
220	17	7	44827
239	35	8	44877
14	8	9	44927
203	30	7	44977
84	36	1	45027
28	38	1	45077
9	29	7	45127
262	47	5	45177
6	9	2	45227
110	35	5	45277
216	3	6	45327
218	32	1	45377
103	11	1	45427
289	19	1	45477
7	24	8	45527
249	0	1	45577
181	42	9	45627
116	29	5	45677
79	5	9	45727
246	45	4	45777
258	17	5	45827
277	36	6	45877
230	10	2	45927
121	0	2	45977
286	14	4	46027
294	36	1	46077
267	42	6	46127
237	14	7	46177
249	47	2	46227
191	21	9	46277
296	6	1	46327
242	39	5	46377
144	40	4	46427
52	1	1	46477
101	44	8	46527
153	18	3	46577
46	20	6	46627
199	17	3	46677
67	2	4	46727
211	14	7	46777
199	16	6	46827
34	43	5	46877
173	25	3	46927
68	32	9	46977
101	13	8	47027
7	1	4	47077
107	44	2	47127
291	24	5	47177
183	17	4	47227
198	37	8	47277
90	17	3	47327
196	33	4	47377
255	27	5	47427
87	14	2	47477
180	36	4	47527
282	20	6	47577
201	34	6	47627
40	15	8	47677
252	28	0	47727
22	30	7	47777
252	22	9	47827
134	26	0	47877
284	30	8	47927
142	12	1	47977
28	13	7	48027
58	20	5	48077
29	33	4	48127
52	22	8	48177
110	25	5	48227
117	21	8	48277
178	36	2	48327
29	39	3	48377
200	8	2	48427
236	28	4	48477
34	46	4	48527
89	17	7	48577
212	13	4	48627
296	4	2	48677
10	42	3	48727
30	1	5	48777
70	4	9	48827
272	19	2	48877
51	31	3	48927
10	23	5	48977
98	50	8	49027
171	6	0	49077
174	38	6	49127
209	27	4	49177
218	29	0	49227
79	50	2	49277
193	14	5	49327
291	2	1	49377
90	20	5	49427
293	19	0	49477
117	23	5	49527
187	39	3	49577
67	40	6	49627
155	48	8	49677
203	41	1	49727
242	40	0	49777
201	46	4	49827
141	8	1	49877
196	20	4	49927
65	46	6	49977
223	48	0	50027
209	30	8	50077
99	9	2	50127
19	46	4	50177
147	39	7	50227
161	45	5	50277
104	9	1	50327
149	29	4	50377
253	37	3	50427
63	3	8	50477
176	18	8	50527
1	25	2	50577
154	15	7	50627
13	43	1	50677
224	42	2	50727
103	27	3	50777
99	4	5	50827
257	26	1	50877
116	34	7	50927
2	12	2	50977
151	24	4	51027
291	50	6	51077
173	28	9	51127
30	9	9	51177
15	29	5	51227
126	45	7	51277
41	10	5	51327
72	38	7	51377
50	13	8	51427
89	19	9	34977
118	14	1	35027
80	28	6	35077
104	32	7	35127
171	28	7	35177
164	29	3	35227
8	15	8	35277
286	49	3	35327
268	2	2	35377
171	3	1	35427
34	21	9	35477
162	25	8	35527
230	19	4	35577
50	26	0	35627
175	13	8	35677
230	19	0	35727
299	20	5	35777
187	36	2	35827
135	16	9	35877
291	19	1	35927
133	40	7	35977
8	24	9	36027
260	0	6	36077
295	33	4	36127
147	2	1	36177
155	40	3	36227
104	25	6	36277
109	38	0	36327
131	10	5	36377
245	44	8	36427
108	36	5	36477
283	31	1	36527
297	6	7	36577
174	27	7	36627
184	8	1	36677
114	17	8	36727
228	20	2	36777
136	48	0	36827
103	18	3	36877
88	38	9	36927
152	28	3	36977
70	40	9	37027
234	42	8	37077
226	39	3	37127
52	22	5	37177
293	12	5	37227
7	37	9	37277
267	3	6	37327
238	41	9	37377
147	8	7	37427
280	21	8	37477
94	41	8	37527
204	24	3	37577
187	2	7	37627
48	8	1	37677
160	46	3	37727
125	36	0	37777
200	38	5	37827
269	27	4	37877
213	28	7	37927
236	8	6	37977
179	8	3	38027
232	46	8	38077
26	23	5	38127
124	41	6	38177
269	2	7	38227
201	25	8	38277
280	30	0	38327
201	1	5	38377
84	3	4	38427
23	33	4	38477
121	16	4	38527
210	39	0	38577
222	37	3	38627
147	31	6	38677
175	16	6	38727
151	47	7	38777
192	40	1	38827
15	18	9	38877
132	19	7	38927
113	5	6	38977
255	28	0	39027
40	47	3	39077
114	40	4	39127
83	44	7	39177
27	41	5	39227
249	4	9	39277
170	36	7	39327
258	22	7	39377
121	5	0	39427
222	33	1	39477
192	6	2	39527
232	33	3	39577
218	21	0	39627
224	33	7	39677
184	31	2	39727
63	20	6	39777
224	27	4	39827
257	28	0	39877
127	22	2	39927
184	12	9	39977
19	10	8	40027
44	32	3	40077
7	14	3	40127
80	17	6	40177
8	2	2	40227
192	24	6	40277
45	39	7	40327
83	49	3	40377
246	44	1	40427
186	31	3	40477
120	12	0	40527
79	17	8	40577
113	19	5	40627
59	16	7	40677
30	9	4	40727
134	37	9	40777
68	14	5	40827
231	41	2	40877
133	18	0	40927
239	27	7	40977
278	2	9	41027
201	22	7	41077
108	9	5	41127
139	3	6	41177
186	35	4	41227
127	22	3	41277
125	22	4	41327
32	38	1	41377
236	47	9	41427
146	7	5	41477
36	44	8	41527
100	28	0	41577
287	3	4	41627
45	47	0	41677
64	4	0	41727
119	1	4	41777
50	22	8	41827
179	6	5	41877
267	21	1	41927
296	44	8	41977
17	13	7	42027
239	2	5	42077
39	38	4	42127
113	42	9	42177
207	22	9	42227
252	6	8	42277
261	39	7	42327
253	25	8	42377
232	44	2	42427
175	49	7	42477
33	20	0	42527
63	41	0	42577
278	11	4	42627
62	34	9	42677
101	28	2	42727
20	13	8	42777
187	48	9	42827
181	13	6	42877
62	10	7	42927
128	18	9	42977
120	31	0	43027
257	26	0	43077
269	50	0	43127
126	22	1	43177
158	14	2	43227
76	20	8	43277
212	47	3	43327
267	21	5	43377
278	45	6	43427
142	4	5	43477
22	10	8	43527
7	46	1	43577
52	11	7	43627
13	50	0	43677
97	32	0	43727
138	28	8	43777
46	34	2	43827
279	20	7	43877
298	9	5	43927
202	25	5	43977
82	38	2	44027
114	4	4	44077
288	25	6	44127
88	38	0	44177
104	11	2	44227
256	19	1	44277
116	15	2	44327
206	15	0	44377
109	1	0	44427
89	25	4	44477
154	17	4	44527
78	31	8	44577
208	35	7	44627
286	24	1	44677
120	23	0	44727
50	1	3	44777
220	17	7	44827
239	35	8	44877
14	8	9	44927
203	30	7	44977
84	36	1	45027
28	38	1	45077
9	29	7	45127
262	47	5	45177
6	9	2	45227
110	35	5	45277
216	3	6	45327
218	32	1	45377
103	11	1	45427
289	19	1	45477
7	24	8	45527
249	0	1	45577
181	42	9	45627
116	29	5	45677
79	5	9	45727
246	45	4	45777
258	17	5	45827
277	36	6	45877
230	10	2	45927
121	0	2	45977
286	14	4	46027
294	36	1	46077
267	42	6	46127
237	14	7	46177
249	47	2	46227
191	21	9	46277
296	6	1	46327
242	39	5	46377
144	40	4	46427
52	1	1	46477
101	44	8	46527
153	18	3	46577
46	20	6	46627
199	17	3	46677
67	2	4	46727
211	14	7	46777
199	16	6	46827
34	43	5	46877
173	25	3	46927
68	32	9	46977
101	13	8	47027
7	1	4	47077
107	44	2	47127
291	24	5	47177
183	17	4	47227
198	37	8	47277
90	17	3	47327
196	33	4	47377
255	27	5	47427
87	14	2	47477
180	36	4	47527
282	20	6	47577
201	34	6	47627
40	15	8	47677
252	28	0	47727
22	30	7	47777
252	22	9	47827
134	26	0	47877
284	30	8	47927
142	12	1	47977
28	13	7	48027
58	20	5	48077
29	33	4	48127
52	22	8	48177
110	25	5	48227
117	21	8	48277
178	36	2	48327
29	39	3	48377
200	8	2	48427
236	28	4	48477
34	46	4	48527
89	17	7	48577
212	13	4	48627
296	4	2	48677
10	42	3	48727
30	1	5	48777
70	4	9	48827
272	19	2	48877
51	31	3	48927
10	23	5	48977
98	50	8	49027
171	6	0	49077
174	38	6	49127
209	27	4	49177
218	29	0	49227
79	50	2	49277
193	14	5	49327
291	2	1	49377
90	20	5	49427
293	19	0	49477
117	23	5	49527
187	39	3	49577
67	40	6	49627
155	48	8	49677
203	41	1	49727
242	40	0	49777
201	46	4	49827
141	8	1	49877
196	20	4	49927
65	46	6	49977
223	48	0	50027
209	30	8	50077
99	9	2	50127
19	46	4	50177
147	39	7	50227
161	45	5	50277
104	9	1	50327
149	29	4	50377
253	37	3	50427
63	3	8	50477
176	18	8	50527
1	25	2	50577
154	15	7	50627
13	43	1	50677
224	42	2	50727
103	27	3	50777
99	4	5	50827
257	26	1	50877
116	34	7	50927
2	12	2	50977
151	24	4	51027
291	50	6	51077
173	28	9	51127
30	9	9	51177
15	29	5	51227
126	45	7	51277
41	10	5	51327
72	38	7	51377
50	13	8	51427
89	19	9	34977
118	14	1	35027
80	28	6	35077
104	32	7	35127
171	28	7	35177
164	29	3	35227
8	15	8	35277
286	49	3	35327
268	2	2	35377
171	3	1	35427
34	21	9	35477
162	25	8	35527
230	19	4	35577
50	26	0	35627
175	13	8	35677
230	19	0	35727
299	20	5	35777
187	36	2	35827
135	16	9	35877
291	19	1	35927
133	40	7	35977
8	24	9	36027
260	0	6	36077
295	33	4	36127
147	2	1	36177
155	40	3	36227
104	25	6	36277
109	38	0	36327
131	10	5	36377
245	44	8	36427
108	36	5	36477
283	31	1	36527
297	6	7	36577
174	27	7	36627
184	8	1	36677
114	17	8	36727
228	20	2	36777
136	48	0	36827
103	18	3	36877
88	38	9	36927
152	28	3	36977
70	40	9	37027
234	42	8	37077
226	39	3	37127
52	22	5	37177
293	12	5	37227
7	37	9	37277
267	3	6	37327
238	41	9	37377
147	8	7	37427
280	21	8	37477
94	41	8	37527
204	24	3	37577
187	2	7	37627
48	8	1	37677
160	46	3	37727
125	36	0	37777
200	38	5	37827
269	27	4	37877
213	28	7	37927
236	8	6	37977
179	8	3	38027
232	46	8	38077
26	23	5	38127
124	41	6	38177
269	2	7	38227
201	25	8	38277
280	30	0	38327
201	1	5	38377
84	3	4	38427
23	33	4	38477
121	16	4	38527
210	39	0	38577
222	37	3	38627
147	31	6	38677
175	16	6	38727
151	47	7	38777
192	40	1	38827
15	18	9	38877
132	19	7	38927
113	5	6	38977
255	28	0	39027
40	47	3	39077
114	40	4	39127
83	44	7	39177
27	41	5	39227
249	4	9	39277
170	36	7	39327
258	22	7	39377
121	5	0	39427
222	33	1	39477
192	6	2	39527
232	33	3	39577
218	21	0	39627
224	33	7	39677
184	31	2	39727
63	20	6	39777
224	27	4	39827
257	28	0	39877
127	22	2	39927
184	12	9	39977
19	10	8	40027
44	32	3	40077
7	14	3	40127
80	17	6	40177
8	2	2	40227
192	24	6	40277
45	39	7	40327
83	49	3	40377
246	44	1	40427
186	31	3	40477
120	12	0	40527
79	17	8	40577
113	19	5	40627
59	16	7	40677
30	9	4	40727
134	37	9	40777
68	14	5	40827
231	41	2	40877
133	18	0	40927
239	27	7	40977
278	2	9	41027
201	22	7	41077
108	9	5	41127
139	3	6	41177
186	35	4	41227
127	22	3	41277
125	22	4	41327
32	38	1	41377
236	47	9	41427
146	7	5	41477
36	44	8	41527
100	28	0	41577
287	3	4	41627
45	47	0	41677
64	4	0	41727
119	1	4	41777
50	22	8	41827
179	6	5	41877
267	21	1	41927
296	44	8	41977
17	13	7	42027
239	2	5	42077
39	38	4	42127
113	42	9	42177
207	22	9	42227
252	6	8	42277
261	39	7	42327
253	25	8	42377
232	44	2	42427
175	49	7	42477
33	20	0	42527
63	41	0	42577
278	11	4	42627
62	34	9	42677
101	28	2	42727
20	13	8	42777
187	48	9	42827
181	13	6	42877
62	10	7	42927
128	18	9	42977
120	31	0	43027
257	26	0	43077
269	50	0	43127
126	22	1	43177
158	14	2	43227
76	20	8	43277
212	47	3	43327
267	21	5	43377
278	45	6	43427
142	4	5	43477
22	10	8	43527
7	46	1	43577
52	11	7	43627
13	50	0	43677
97	32	0	43727
138	28	8	43777
46	34	2	43827
279	20	7	43877
298	9	5	43927
202	25	5	43977
82	38	2	44027
114	4	4	44077
288	25	6	44127
88	38	0	44177
104	11	2	44227
256	19	1	44277
116	15	2	44327
206	15	0	44377
109	1	0	44427
89	25	4	44477
154	17	4	44527
78	31	8	44577
208	35	7	44627
286	24	1	44677
120	23	0	44727
50	1	3	44777
220	17	7	44827
239	35	8	44877
14	8	9	44927
203	30	7	44977
84	36	1	45027
28	38	1	45077
9	29	7	45127
262	47	5	45177
6	9	2	45227
110	35	5	45277
216	3	6	45327
218	32	1	45377
103	11	1	45427
289	19	1	45477
7	24	8	45527
249	0	1	45577
181	42	9	45627
116	29	5	45677
79	5	9	45727
246	45	4	45777
258	17	5	45827
277	36	6	45877
230	10	2	45927
121	0	2	45977
286	14	4	46027
294	36	1	46077
267	42	6	46127
237	14	7	46177
249	47	2	46227
191	21	9	46277
296	6	1	46327
242	39	5	46377
144	40	4	46427
52	1	1	46477
101	44	8	46527
153	18	3	46577
46	20	6	46627
199	17	3	46677
67	2	4	46727
211	14	7	46777
199	16	6	46827
34	43	5	46877
173	25	3	46927
68	32	9	46977
101	13	8	47027
7	1	4	47077
107	44	2	47127
291	24	5	47177
183	17	4	47227
198	37	8	47277
90	17	3	47327
196	33	4	47377
255	27	5	47427
87	14	2	47477
180	36	4	47527
282	20	6	47577
201	34	6	47627
40	15	8	47677
252	28	0	47727
22	30	7	47777
252	22	9	47827
134	26	0	47877
284	30	8	47927
142	12	1	47977
28	13	7	48027
58	20	5	48077
29	33	4	48127
52	22	8	48177
110	25	5	48227
117	21	8	48277
178	36	2	48327
29	39	3	48377
200	8	2	48427
236	28	4	48477
34	46	4	48527
89	17	7	48577
212	13	4	48627
296	4	2	48677
10	42	3	48727
30	1	5	48777
70	4	9	48827
272	19	2	48877
51	31	3	48927
10	23	5	48977
98	50	8	49027
171	6	0	49077
174	38	6	49127
209	27	4	49177
218	29	0	49227
79	50	2	49277
193	14	5	49327
291	2	1	49377
90	20	5	49427
293	19	0	49477
117	23	5	49527
187	39	3	49577
67	40	6	49627
155	48	8	49677
203	41	1	49727
242	40	0	49777
201	46	4	49827
141	8	1	49877
196	20	4	49927
65	46	6	49977
223	48	0	50027
209	30	8	50077
99	9	2	50127
19	46	4	50177
147	39	7	50227
161	45	5	50277
104	9	1	50327
149	29	4	50377
253	37	3	50427
63	3	8	50477
176	18	8	50527
1	25	2	50577
154	15	7	50627
13	43	1	50677
224	42	2	50727
103	27	3	50777
99	4	5	50827
257	26	1	50877
116	34	7	50927
2	12	2	50977
151	24	4	51027
291	50	6	51077
173	28	9	51127
30	9	9	51177
15	29	5	51227
126	45	7	51277
41	10	5	51327
72	38	7	51377
50	13	8	51427
89	19	9	34977
118	14	1	35027
80	28	6	35077
104	32	7	35127
171	28	7	35177
164	29	3	35227
8	15	8	35277
286	49	3	35327
268	2	2	35377
171	3	1	35427
34	21	9	35477
162	25	8	35527
230	19	4	35577
50	26	0	35627
175	13	8	35677
230	19	0	35727
299	20	5	35777
187	36	2	35827
135	16	9	35877
291	19	1	35927
133	40	7	35977
8	24	9	36027
260	0	6	36077
295	33	4	36127
147	2	1	36177
155	40	3	36227
104	25	6	36277
109	38	0	36327
131	10	5	36377
245	44	8	36427
108	36	5	36477
283	31	1	36527
297	6	7	36577
174	27	7	36627
184	8	1	36677
114	17	8	36727
228	20	2	36777
136	48	0	36827
103	18	3	36877
88	38	9	36927
152	28	3	36977
70	40	9	37027
234	42	8	37077
226	39	3	37127
52	22	5	37177
293	12	5	37227
7	37	9	37277
267	3	6	37327
238	41	9	37377
147	8	7	37427
280	21	8	37477
94	41	8	37527
204	24	3	37577
187	2	7	37627
48	8	1	37677
160	46	3	37727
125	36	0	37777
200	38	5	37827
269	27	4	37877
213	28	7	37927
236	8	6	37977
179	8	3	38027
232	46	8	38077
26	23	5	38127
124	41	6	38177
269	2	7	38227
201	25	8	38277
280	30	0	38327
201	1	5	38377
84	3	4	38427
23	33	4	38477
121	16	4	38527
210	39	0	38577
222	37	3	38627
147	31	6	38677
175	16	6	38727
151	47	7	38777
192	40	1	38827
15	18	9	38877
132	19	7	38927
113	5	6	38977
255	28	0	39027
40	47	3	39077
114	40	4	39127
83	44	7	39177
27	41	5	39227
249	4	9	39277
170	36	7	39327
258	22	7	39377
121	5	0	39427
222	33	1	39477
192	6	2	39527
232	33	3	39577
218	21	0	39627
224	33	7	39677
184	31	2	39727
63	20	6	39777
224	27	4	39827
257	28	0	39877
127	22	2	39927
184	12	9	39977
19	10	8	40027
44	32	3	40077
7	14	3	40127
80	17	6	40177
8	2	2	40227
192	24	6	40277
45	39	7	40327
83	49	3	40377
246	44	1	40427
186	31	3	40477
120	12	0	40527
79	17	8	40577
113	19	5	40627
59	16	7	40677
30	9	4	40727
134	37	9	40777
68	14	5	40827
231	41	2	40877
133	18	0	40927
239	27	7	40977
278	2	9	41027
201	22	7	41077
108	9	5	41127
139	3	6	41177
186	35	4	41227
127	22	3	41277
125	22	4	41327
32	38	1	41377
236	47	9	41427
146	7	5	41477
36	44	8	41527
100	28	0	41577
287	3	4	41627
45	47	0	41677
64	4	0	41727
119	1	4	41777
50	22	8	41827
179	6	5	41877
267	21	1	41927
296	44	8	41977
17	13	7	42027
239	2	5	42077
39	38	4	42127
113	42	9	42177
207	22	9	42227
252	6	8	42277
261	39	7	42327
253	25	8	42377
232	44	2	42427
175	49	7	42477
33	20	0	42527
63	41	0	42577
278	11	4	42627
62	34	9	42677
101	28	2	42727
20	13	8	42777
187	48	9	42827
181	13	6	42877
62	10	7	42927
128	18	9	42977
120	31	0	43027
257	26	0	43077
269	50	0	43127
126	22	1	43177
158	14	2	43227
76	20	8	43277
212	47	3	43327
267	21	5	43377
278	45	6	43427
142	4	5	43477
22	10	8	43527
7	46	1	43577
52	11	7	43627
13	50	0	43677
97	32	0	43727
138	28	8	43777
46	34	2	43827
279	20	7	43877
298	9	5	43927
202	25	5	43977
82	38	2	44027
114	4	4	44077
288	25	6	44127
88	38	0	44177
104	11	2	44227
256	19	1	44277
116	15	2	44327
206	15	0	44377
109	1	0	44427
89	25	4	44477
154	17	4	44527
78	31	8	44577
208	35	7	44627
286	24	1	44677
120	23	0	44727
50	1	3	44777
220	17	7	44827
239	35	8	44877
14	8	9	44927
203	30	7	44977
84	36	1	45027
28	38	1	45077
9	29	7	45127
262	47	5	45177
6	9	2	45227
110	35	5	45277
216	3	6	45327
218	32	1	45377
103	11	1	45427
289	19	1	45477
7	24	8	45527
249	0	1	45577
181	42	9	45627
116	29	5	45677
79	5	9	45727
246	45	4	45777
258	17	5	45827
277	36	6	45877
230	10	2	45927
121	0	2	45977
286	14	4	46027
294	36	1	46077
267	42	6	46127
237	14	7	46177
249	47	2	46227
191	21	9	46277
296	6	1	46327
242	39	5	46377
144	40	4	46427
52	1	1	46477
101	44	8	46527
153	18	3	46577
46	20	6	46627
199	17	3	46677
67	2	4	46727
211	14	7	46777
199	16	6	46827
34	43	5	46877
173	25	3	46927
68	32	9	46977
101	13	8	47027
7	1	4	47077
107	44	2	47127
291	24	5	47177
183	17	4	47227
198	37	8	47277
90	17	3	47327
196	33	4	47377
255	27	5	47427
87	14	2	47477
180	36	4	47527
282	20	6	47577
201	34	6	47627
40	15	8	47677
252	28	0	47727
22	30	7	47777
252	22	9	47827
134	26	0	47877
284	30	8	47927
142	12	1	47977
28	13	7	48027
58	20	5	48077
29	33	4	48127
52	22	8	48177
110	25	5	48227
117	21	8	48277
178	36	2	48327
29	39	3	48377
200	8	2	48427
236	28	4	48477
34	46	4	48527
89	17	7	48577
212	13	4	48627
296	4	2	48677
10	42	3	48727
30	1	5	48777
70	4	9	48827
272	19	2	48877
51	31	3	48927
10	23	5	48977
98	50	8	49027
171	6	0	49077
174	38	6	49127
209	27	4	49177
218	29	0	49227
79	50	2	49277
193	14	5	49327
291	2	1	49377
90	20	5	49427
293	19	0	49477
117	23	5	49527
187	39	3	49577
67	40	6	49627
155	48	8	49677
203	41	1	49727
242	40	0	49777
201	46	4	49827
141	8	1	49877
196	20	4	49927
65	46	6	49977
223	48	0	50027
209	30	8	50077
99	9	2	50127
19	46	4	50177
147	39	7	50227
161	45	5	50277
104	9	1	50327
149	29	4	50377
253	37	3	50427
63	3	8	50477
176	18	8	50527
1	25	2	50577
154	15	7	50627
13	43	1	50677
224	42	2	50727
103	27	3	50777
99	4	5	50827
257	26	1	50877
116	34	7	50927
2	12	2	50977
151	24	4	51027
291	50	6	51077
173	28	9	51127
30	9	9	51177
15	29	5	51227
126	45	7	51277
41	10	5	51327
72	38	7	51377
50	13	8	51427
